Job.Title.2011,"Cal.
Code",Name,Position,Effective.2011,Schd.,Grd.,Step,FTE,Pay.2011,Adjusted.2011,Prorated,Hrs/Dy
Physical Therapist,EA,9/1/2010-EndOfYear,T21A,10T,TCH,B,08,1,"43,665.00",43665,43665,7.25
Bldg Maint Mechanic,SS,7/1/2010-EndOfYear,26PY,12M,BMM,OFF,12,1,"33,442.00",33858,33858,8
Stock Clerk,SS,7/1/2010-EndOfYear,26PY,12M,CSA,OFF,13,1,"35,776.00",35776,35776,8
Teacher Asst SE,SS,9/1/2010-EndOfYear,T21A,10T,TA,B,10,1,"25,084.00",25084,25084,6.67
Teacher Asst SE,SS,9/1/2010-EndOfYear,T26A,10T,TA,B,13,1,"26,571.00",26838,26838,6.67
e-Learning Director,WADU,7/1/2010-EndOfYear,26PY,12M,WADU,NA,,1,"83,152.00",83152,83152,8
Teacher Asst SE,SS,9/1/2010-EndOfYear,T21A,10T,TA,B,12,1,"26,049.00",26316,26316,6.67
WIDE ARE NETWORK MANAGER,WADU,7/1/2010-EndOfYear,26PY,12M,WADU,NA,,1,"100,628.00",100628,100628,8
School Aide,SS,9/1/2010-EndOfYear,T21A,10T,AIDE,B,16,0.75,"19,725.00",15034,15034,8
Speech Therapist,EA,9/1/2010-EndOfYear,T21A,10T,TCH,B,01,1,"49,339.00",52439,52439,7.25
Sr Acct Clerk Typist (02),SS,11/1/2010-EndOfYear,26PY,12M,BMM,OFF,13,1,"34,109.00",34109,22826.79,8
Instr Phys Ed,EA,9/1/2010-EndOfYear,T21A,10T,TCH,A,7,1,"40,044.00",42816,42816,7.25
Instructor Spec Ed,EA,9/1/2010-EndOfYear,T21A,10T,TCH,B,94,1,"57,152.00",60189,60189,7.25
Teacher Asst Voc,SS,9/1/2010-EndOfYear,T21A,10T,TA,B,14,1,"27,104.00",27104,27104,6.67
Principal Spec Ed,WADU,7/1/2010-EndOfYear,26PY,12M,WADU,NA,,1,"75,200.00",75200,75200,8
Instructor Spec Ed,EA,9/1/2010-EndOfYear,T26A,10T,TCH,B,91,1,"61,422.00",66601,66601,7.25
Stenographer,SS,7/1/2010-EndOfYear,26PY,12M,STEN,OFF,25,0.8,"42,767.00",34546.4,34546.4,8
