Job.Title.2022,"Cal.
Code",Name,Position,Effective.2022,Schd.,Grd.,Step,FTE,Pay.2022,Adjusted.2022,Prorated,Hrs/Dy
Physical Therapist,EA,8/30/2021-EndOfYear,T21A,10T,TCH,B,08,1,"64,015.00",64015,64015,7.25
Bldg Maint Mechanic,SS,7/1/2021-EndOfYear,26PY,12M,BMM,OFF,23,1,"45,993.00",46513,46513,8
Stock Clerk II,SS,7/1/2021-EndOfYear,26PY,12M,SCSA,OFF,14,1,"58,893.00",58893,58893,8
IT Support Technician II,SS,7/1/2021-EndOfYear,26PY,12M,SCSA,N/A,8,1,"53,705.00",54225,54225,8
Teaching Assistant,SS,8/30/2021-EndOfYear,T26A,10T,TA,B,24,1,"36,607.00",36940.5,36940.5,6.67
Director of Edu Tech Services,AAA,7/1/2021-EndOfYear,26PY,12M,ADM,NA,,1,"142,055.00",142055,142055,8
Teaching Assistant,SS,8/30/2021-EndOfYear,T21A,10T,TA,B,23,1,"35,894.00",36227.5,36227.5,6.67
Wide  Area Network Manager,WADU,7/1/2021-EndOfYear,26PY,12M,WADU,NA,,1,"133,493.00",133493,133493,8
School Aide,SS,8/30/2021-EndOfYear,T21A,10T,AIDE,B,27,0.75,"27,361.00",20820.75,20820.75,8
Speech Therapist,EA,8/30/2021-EndOfYear,T21A,10T,TCH,B,01,1,"72,334.00",75434,75434,7.25
Financial  & Operation System Specialist,NONC,7/1/2021-EndOfYear,26PY,12M,CORD,NA,,1,"63,664.00",63664,63664,8
Instructor Physical Education,EA,8/30/2021-EndOfYear,T21A,10T,TCH,B,016,1,"56,388.00",59160,59160,7.25
Instructor Spec Ed,EA,8/30/2021-EndOfYear,T26A,10T,TCH,B,94,1,"83,788.00",86825,86825,7.25
Instructor Career & Technical Education,EA,8/30/2021-EndOfYear,T21A,10T,TCH,B,014,1,"57,664.00",57664,57664,7.25
Principal Spec Ed,WADU,7/1/2021-EndOfYear,26PY,12M,WADU,NA,,1,"109,274.00",116274,116274,8
